MF Rank,EY Rank,ROC Rank,Combined Rank,MF Score,Grade,Ticker,Sector,Price,Market Cap,EBIT,EV,Earnings Yield %,ROC % (Greenblatt),ROE %,Gross Margin %,Op Margin %,FCF Margin %,P/E,D/E,Beta,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %
,,,,0.0,N/A,NVDA,Electronic Technology,186.03,4520529104528.99,130387000000.0,4534009440000.0,2.88,,101.5,71.1,60.4,38.8,38.0,0.07,1.78,65.5,66.7,1.0,3.2
,,,,0.0,N/A,AAPL,Electronic Technology,260.81,3828987834590.15,134769378307.09,4072753330400.0,3.31,,152.0,47.3,32.4,29.6,33.0,1.03,1.39,10.1,25.6,-6.2,-6.6
,,,,0.0,N/A,GOOG,Technology Services,308.42,3731692803047.43,132732731339.77,3777299400000.0,3.51,,35.7,59.7,32.9,18.2,28.5,0.16,1.21,15.2,34.3,-4.0,-3.9
,,,,0.0,N/A,MSFT,Technology Services,404.88,3006488703921.23,131484358366.1,3641621200000.0,3.61,,34.4,68.6,46.7,27.5,25.3,0.32,-0.22,16.7,28.7,0.0,-15.1
,,,,0.0,N/A,AMZN,Retail Trade,212.65,2282780948554.55,84614000000.0,2554002660000.0,3.31,,22.3,50.3,11.8,1.1,29.6,0.41,1.44,12.4,29.9,1.8,-7.8
,,,,0.0,N/A,META,Technology Services,654.86,1656504700782.17,83276414380.61,1695782850000.0,4.91,,30.2,82.0,41.4,22.9,27.9,0.39,1.46,22.2,-1.8,-1.3,1.8
,,,,0.0,N/A,AVGO,Electronic Technology,341.57,1619476871352.66,26558923025.1,1671277400000.0,1.59,,33.4,65.0,41.6,45.3,66.7,0.83,2.16,25.2,147.1,3.3,-15.6
,,,,0.0,N/A,TSLA,Consumer Durables,407.82,1530316715095.71,4849000000.0,1562558080000.0,0.31,,4.9,18.0,5.1,6.6,379.0,0.18,1.49,-2.9,-47.2,-0.5,-9.2
,,,,0.0,N/A,MU,Electronic Technology,418.69,471239462206.8,12305623463.79,264209880000.0,4.66,,22.6,45.5,32.9,12.4,39.8,0.21,2.4,45.4,203.8,10.0,60.1
,,,,0.0,N/A,COST,Retail Trade,992.23,440420543458.04,10518473791.77,442557881600.0,2.38,,29.7,13.6,3.8,3.3,51.6,0.25,0.29,8.4,12.3,-0.9,13.3
,,,,0.0,N/A,NFLX,Technology Services,94.89,400640972648.79,13419183000.0,412683530440.0,3.25,,42.8,48.6,29.6,20.9,37.5,0.64,0.85,16.5,27.5,15.5,1.1
,,,,0.0,N/A,AMD,Electronic Technology,204.83,333957055306.03,3695000000.0,347796510000.0,1.06,,7.1,46.0,10.7,19.4,77.4,0.06,1.47,34.3,163.6,-1.0,-6.0
,,,,0.0,N/A,CSCO,Electronic Technology,78.1,308486636370.51,13391695499.03,313128560000.0,4.28,,24.3,64.0,23.6,21.6,27.5,0.67,0.99,9.0,24.6,-7.8,-2.7
,,,,0.0,N/A,AMAT,Producer Manufacturing,351.07,278612618635.58,8436800453.68,256260620000.0,3.29,,38.9,48.7,29.7,21.8,36.0,0.33,1.69,2.2,27.7,10.6,29.4
,,,,0.0,N/A,LRCX,Producer Manufacturing,218.87,273318502489.55,6224700521.23,222981171730.0,2.79,,65.6,49.8,33.8,33.7,44.9,0.44,2.28,26.8,48.3,-4.4,32.1
,,,,0.0,N/A,INTC,Electronic Technology,47.98,239660093746.6,247000000.0,197426200000.0,0.13,,-0.3,35.2,0.5,-9.4,,0.41,1.18,-0.5,98.1,-3.2,19.7
