MF Rank,EY Rank,ROC Rank,Combined Rank,MF Score,Grade,Ticker,Sector,Price,Market Cap,EBIT,EV,Earnings Yield %,ROC % (Greenblatt),ROE %,Gross Margin %,Op Margin %,FCF Margin %,P/E,D/E,Beta,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %
1,17,23,40,100.0,A+,MO,Consumer Non-Durables,66.34,110913717041.13,12836199424.55,117973820000.0,10.88,55.1,,75.9,63.8,45.1,16.1,,0.02,-1.4,-37.1,1.6,12.7
2,5,67,72,99.8,A+,HPQ,Technology Services,18.46,16882596976.91,3783412107.23,25902080000.0,14.61,35.7,,19.9,6.8,5.2,7.0,,1.48,5.1,-4.9,-4.8,-26.6
3,36,41,77,99.5,A+,CPAY,Commercial Services,330.49,22489942926.93,2080307000.0,22571199390.0,9.22,42.5,30.5,72.6,45.9,28.7,21.9,2.6,1.21,13.9,7.7,-6.9,6.3
4,65,27,92,99.3,A+,LDOS,Technology Services,173.37,21912699089.58,2100000000.0,27851630000.0,7.54,48.6,31.0,18.0,12.2,9.5,15.6,1.09,0.74,3.1,20.6,-10.8,-8.3
5,92,4,96,99.1,A+,ADBE,Technology Services,273.7,112355904493.62,8705267449.2,133547210000.0,6.52,129.3,55.4,88.6,36.6,41.5,16.4,0.57,0.98,10.5,34.6,2.5,-19.9
6,54,43,97,98.9,A+,NTAP,Electronic Technology,97.58,19255502508.26,1524448486.66,19203000000.0,7.94,42.1,112.6,70.3,23.2,24.5,16.3,2.36,1.38,3.0,10.6,-4.8,-18.2
7,21,78,99,98.6,A+,BMY,Health Technology,59.98,122147697987.34,15115000000.0,146590540000.0,10.31,33.7,40.5,65.9,31.4,26.7,17.3,2.55,0.54,-0.2,,-2.3,17.4
8,15,94,109,98.4,A+,AMP,Finance,450.69,41093464225.32,4833322398.01,43254742000.0,11.17,30.7,60.5,52.6,25.6,44.7,12.4,0.94,1.15,5.1,9.9,-16.5,-9.2
9,11,108,119,98.2,A+,PYPL,Commercial Services,45.57,41954684006.08,6562803143.47,56492820000.0,11.62,28.7,25.7,41.8,19.7,16.7,8.4,0.6,1.24,4.9,35.3,13.3,-24.1
10,102,18,120,97.9,A+,CL,Consumer Non-Durables,89.61,71826712258.26,4479000000.0,71057394000.0,6.3,59.7,1602.3,60.1,22.0,17.8,34.2,158.41,0.15,1.4,-25.4,-4.7,15.1
11,46,76,122,97.7,A+,CTSH,Technology Services,62.43,29856954856.17,3355000000.0,39256000000.0,8.55,33.8,15.2,31.2,15.9,12.3,13.7,0.08,0.93,7.0,1.1,-17.5,-24.8
12,26,102,128,97.5,A+,OMC,Commercial Services,80.06,24845527948.67,2425500000.0,24197136567.16,10.02,29.2,-0.7,17.3,14.0,16.1,161.3,0.93,0.75,10.1,-93.3,14.8,3.2
13,40,93,133,97.2,A+,MRK,Health Technology,116.21,287316675774.98,26692000000.0,297786880000.0,8.96,30.7,36.9,74.2,41.1,19.0,16.0,0.96,0.71,1.5,8.0,-4.3,18.1
14,42,92,134,97.0,A+,FISV,Commercial Services,58.5,31284485722.96,5705000000.0,65049290000.0,8.77,30.8,13.2,59.4,26.9,20.5,9.2,1.15,0.27,3.6,17.7,-2.5,-12.0
15,64,74,138,96.8,A+,HCA,Health Services,537.28,120147742995.06,11965000000.0,158519270600.0,7.55,34.2,,15.8,15.8,10.2,18.9,,0.32,7.1,29.1,7.4,14.1
16,4,139,143,96.6,A+,CF,Process Industries,120.13,18460236248.26,2629000000.0,16663774000.0,15.78,24.1,29.6,42.3,37.1,25.4,13.4,0.75,0.06,19.3,32.9,29.5,57.6
17,103,47,150,96.3,A+,QCOM,Electronic Technology,134.12,143106036770.01,12046677216.6,191614990000.0,6.29,41.5,21.5,55.1,27.2,29.2,27.7,0.64,0.2,10.2,-48.3,-2.2,-26.1
18,120,30,150,96.1,A+,EME,Industrial Services,720.18,32071463649.61,1577942000.0,26600741326.93,5.93,47.5,38.5,19.3,9.3,7.0,25.4,0.13,1.26,16.6,31.4,-5.4,15.5
19,148,5,153,95.9,A+,BKNG,Consumer Services,4322.42,136905502952.34,9487000000.0,175150671690.0,5.42,95.9,,97.1,35.2,33.8,26.0,,-0.51,13.4,-4.0,-2.2,-18.1
20,23,133,156,95.6,A+,STZ,Consumer Non-Durables,149.96,26004293876.82,3540705846.36,34614757320.0,10.23,24.7,14.3,51.2,34.7,17.3,23.6,1.38,0.62,-7.9,69.8,-8.5,0.9
21,152,6,158,95.4,A+,OTIS,Industrial Services,84.6,32885777830.57,2238000000.0,41750730000.0,5.36,91.1,,30.6,15.5,10.0,24.1,,0.52,1.2,-13.8,-5.7,-3.7
22,25,135,160,95.2,A+,THC,Health Services,234.58,20399779781.19,3439000000.0,33768866240.0,10.18,24.5,33.5,16.1,16.1,11.9,15.1,3.42,1.04,3.1,-51.9,17.3,18.6
23,122,42,164,94.9,A+,WSM,Retail Trade,185.77,22177355245.24,1432145486.78,24537975820.0,5.84,42.4,56.9,46.3,18.6,14.3,20.4,0.71,1.44,5.1,7.6,-15.1,-1.8
24,158,12,170,94.7,A+,ITW,Producer Manufacturing,271.52,78252069761.44,4216000000.0,79837260000.0,5.28,71.2,93.7,43.6,26.3,16.9,25.9,2.86,0.81,0.9,-10.4,-6.8,6.5
25,112,59,171,94.5,A+,JBL,Producer Manufacturing,255.46,26975366571.09,1494266705.24,24618893000.0,6.07,37.3,47.9,8.8,5.0,4.0,39.7,2.51,1.55,13.2,-38.3,-0.6,12.1
26,81,96,177,94.3,A+,GILD,Health Technology,146.0,181247394726.72,11822000000.0,169637220000.0,6.97,30.4,40.5,78.8,40.1,32.1,21.5,1.13,0.25,2.5,1747.5,-3.8,19.4
27,149,29,178,94.0,A+,PAYX,Technology Services,94.0,33742940122.12,2364733676.4,43716076000.0,5.41,47.8,40.9,73.4,42.4,35.0,21.3,1.3,0.41,12.4,-7.2,-4.6,-16.8
28,51,131,182,93.8,A+,INCY,Health Technology,94.66,18838710073.86,1342754000.0,16699053820.0,8.04,25.2,29.9,91.5,26.1,26.3,14.8,0.01,0.32,21.2,2261.1,-12.8,-0.3
29,82,101,183,93.6,A+,NVR,Consumer Durables,6610.91,18469296965.0,1446290143.21,20923272610.0,6.91,29.4,33.2,21.2,14.3,10.9,15.1,0.27,0.24,-2.0,-13.8,-17.7,-12.3
30,58,126,184,93.3,A+,GIS,Consumer Non-Durables,40.66,21695447245.47,3062569919.1,39031509000.0,7.85,25.8,27.3,33.9,15.7,9.1,8.8,1.47,-0.02,-5.7,0.8,-15.2,-11.5
31,145,40,185,93.1,A+,LII,Producer Manufacturing,508.66,17702847618.66,1027500000.0,18779858000.0,5.47,42.9,78.1,32.9,19.8,12.3,22.9,1.52,0.79,-2.7,-1.4,-4.1,-0.2
32,7,181,188,92.9,A+,PHM,Consumer Durables,123.38,23706425036.61,2978580172.05,23245065800.0,12.81,19.3,17.7,26.3,17.2,10.5,11.1,0.18,0.56,-3.5,-24.4,-8.6,-4.0
33,125,63,188,92.6,A+,ULTA,Retail Trade,652.64,28952748331.65,1495484136.09,25709747600.0,5.82,36.6,48.0,39.2,13.2,9.2,25.0,0.98,0.48,5.5,4.4,-5.4,8.4
34,169,20,189,92.4,A+,ADP,Technology Services,213.0,85763250728.77,5402320915.61,106108481000.0,5.09,58.7,73.8,50.4,26.3,22.4,20.5,0.7,0.56,6.6,8.6,-7.9,-17.9
35,104,86,190,92.2,A+,DGX,Health Services,200.56,22034788018.1,1603000000.0,25513360000.0,6.28,32.0,14.2,31.9,14.5,12.3,22.9,0.89,0.15,11.8,13.8,5.6,11.6
36,31,161,192,92.0,A+,NEM,Non-Energy Minerals,116.21,126421870257.66,10353000000.0,106878900000.0,9.69,21.2,22.2,49.8,46.9,33.0,18.2,0.17,0.69,18.6,118.6,-0.4,22.3
37,130,64,194,91.7,A+,SCCO,Non-Energy Minerals,192.02,157284177966.8,7001700000.0,122827654000.0,5.7,36.5,42.9,53.2,52.2,25.5,37.0,0.67,1.55,17.4,26.7,-3.7,34.1
38,8,189,197,91.5,A+,TROW,Finance,89.33,19480452603.95,2589800000.0,20643692000.0,12.55,18.6,19.2,78.9,35.4,33.8,9.7,0.04,1.11,3.1,1.0,-5.3,-13.2
39,84,114,198,91.3,A+,SYY,Distribution Services,84.56,40498377392.7,3416425477.34,49481586802.21,6.9,27.7,83.6,18.3,4.2,2.2,22.7,6.56,0.21,2.6,-4.5,-2.3,14.5
