MF Rank,EY Rank,ROC Rank,Combined Rank,MF Score,Grade,Ticker,Sector,Price,Market Cap,EBIT,EV,Earnings Yield %,ROC % (Greenblatt),ROE %,Gross Margin %,Op Margin %,FCF Margin %,P/E,D/E,Beta,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %
1,1,1,2,100.0,A+,EDV,Non-Energy Minerals,84.55,21093084510.0,2608878302.75,17856646775.0,14.61,43.0,23.6,48.7,44.1,26.8,22.0,0.23,1.81,61.0,,6.3,30.5
2,2,8,10,97.8,A+,OGC,Non-Energy Minerals,50.77,11517231031.0,1040400525.22,8535341077.82,12.19,25.9,30.7,46.6,39.3,28.6,13.5,0.02,1.85,48.7,252.6,7.3,36.3
3,3,12,15,95.7,A+,IMG,Non-Energy Minerals,29.6,17799423361.0,1548830970.43,13695667335.71,11.31,19.4,17.5,41.2,38.9,26.6,18.6,0.18,2.41,74.2,-19.7,11.8,38.9
4,9,7,16,93.5,A+,K,Non-Energy Minerals,44.26,53463091823.0,4273720203.94,45449756706.67,9.4,28.3,30.8,47.4,43.4,35.7,16.2,0.09,2.08,39.4,158.5,-0.2,17.6
5,12,6,18,91.3,A,OTEX,Technology Services,32.59,8447819592.0,1497757636.95,18634437409.75,8.04,28.5,10.5,63.9,20.8,17.0,13.7,1.63,1.16,-2.3,-29.6,-4.4,-28.9
6,7,15,22,89.1,A,ABX,Non-Energy Minerals,61.73,104961328582.0,11033899974.27,110253011400.0,10.01,17.9,19.5,48.2,46.8,24.5,15.0,0.18,1.79,32.7,143.1,-0.7,8.0
7,11,11,22,87.0,A,LIF,Non-Energy Minerals,30.41,1943040039.0,155668817.54,1778813000.0,8.75,20.0,16.9,96.5,75.0,58.8,17.6,0.0,0.95,-11.0,-43.3,2.8,-0.3
8,14,10,24,84.8,A,AEM,Non-Energy Minerals,302.51,154532556491.0,8888770675.65,113114241372.33,7.86,23.3,19.5,56.4,53.4,36.7,24.4,0.01,1.89,46.4,139.0,11.4,34.1
9,28,2,30,82.6,A,WSP,Industrial Services,228.5,30823127948.0,1773400000.0,35882210760.32,4.94,33.8,10.6,16.7,9.7,10.2,31.0,0.51,0.74,13.1,36.6,-13.9,-4.7
10,6,25,31,80.4,B+,ELD,Non-Energy Minerals,55.49,11461490129.0,1052969680.89,10433502113.75,10.09,13.1,12.6,44.8,41.4,-10.6,15.9,0.3,1.4,39.7,79.9,2.2,20.6
11,17,14,31,78.3,B+,FTT,Distribution Services,89.66,11747857665.0,837886394.74,11669826144.62,7.18,19.1,18.5,22.6,7.9,4.5,23.6,0.83,1.34,-2.2,4.6,0.8,17.4
12,4,28,32,76.1,B+,MG,Producer Manufacturing,78.57,21882655938.0,2943185602.32,28008981250.0,10.51,12.0,6.8,10.3,5.0,5.4,19.2,0.54,1.31,0.1,-15.2,6.6,11.8
13,5,27,32,73.9,B+,MTY,Consumer Services,38.86,891269956.0,197918000.0,1943940100.24,10.18,12.8,14.4,27.3,16.6,14.2,7.5,1.32,0.93,2.6,451.7,-11.3,2.0
14,31,4,35,71.7,B+,STN,Industrial Services,124.2,14006286262.0,764000000.0,16922757192.4,4.51,30.9,15.5,39.0,9.4,9.7,29.6,0.79,0.7,8.6,31.3,-9.9,-5.2
15,21,16,37,69.6,B+,ATD,Retail Trade,80.8,75570340241.0,5355855558.3,87796881200.0,6.1,17.4,17.7,15.4,5.3,4.0,21.0,1.02,0.94,2.3,4.8,2.4,12.5
16,8,31,39,67.4,B+,SU,Energy Minerals,79.1,92529874769.0,7995000000.0,84018920000.0,9.52,10.4,13.2,43.4,16.3,14.2,16.3,0.32,0.61,-3.5,3.0,8.3,29.7
17,27,13,40,65.2,B,L,Retail Trade,62.09,73993342913.0,4459000000.0,89190920000.0,5.0,19.2,22.9,31.1,7.0,6.4,27.9,1.48,0.06,4.7,27.1,-7.5,1.3
18,22,20,42,63.0,B,MRU,Retail Trade,93.76,20056533891.0,1446808983.38,25896254000.0,5.59,15.3,13.9,17.1,6.6,5.2,20.8,0.69,0.24,3.8,5.2,-1.8,-4.9
19,10,33,43,60.9,B,CCA,Consumer Services,71.53,3048281360.0,728294250.19,8010355186.1,9.09,9.9,9.8,29.8,25.0,17.0,9.8,1.44,0.63,-3.0,-10.7,7.2,8.0
20,23,21,44,58.7,B,AGI,Non-Energy Minerals,67.11,28841613063.0,1211392280.83,21749175264.56,5.57,15.2,21.9,53.2,47.9,14.7,23.1,0.05,1.95,36.6,207.1,21.3,31.4
21,26,18,44,56.5,B,TIH,Distribution Services,201.79,16427259468.0,678356000.0,13040341500.9,5.2,16.0,15.9,24.9,13.0,8.8,33.2,0.26,0.65,3.6,-0.9,9.1,21.8
22,42,3,45,54.3,B,DSG,Technology Services,93.8,8181646438.0,264907217.97,10472277034.95,2.53,32.3,10.7,65.5,29.5,38.1,37.7,0.0,0.49,14.5,15.6,3.1,-26.8
23,41,5,46,52.2,B,DOL,Retail Trade,193.29,53607146380.0,1589693317.8,55506329920.0,2.86,30.4,102.3,39.7,24.8,23.1,41.1,4.15,0.4,14.0,20.0,0.5,-5.7
24,24,23,47,50.0,C+,SAP,Consumer Non-Durables,42.08,17440890627.0,1113974095.72,20087817438.62,5.55,14.1,9.4,15.7,5.8,5.7,27.1,0.53,0.53,0.7,,-1.5,5.5
25,38,9,47,47.8,C+,TRI,Technology Services,140.06,62607135722.0,2778732766.76,83403277261.23,3.33,25.6,12.4,26.6,26.6,27.0,30.0,0.2,0.16,5.1,-30.5,16.5,-22.1
26,19,30,49,45.7,C+,IMO,Energy Minerals,163.18,77432862749.0,4123995528.3,63400788000.0,6.5,11.6,14.3,12.2,9.1,10.4,25.4,0.19,0.95,-7.5,-28.9,6.2,29.5
