Quality Score,Grade,Rank,Ticker,Sector,Price,Market Cap,P1 Return on Capital,P2 Profitability,P3 Balance Sheet,P4 Capital Efficiency,ROIC %,ROE %,Gross Margin %,Op Margin %,FCF Margin %,FCF/NI,Net Debt/EBITDA,D/E,P/E,P/B,EV/EBITDA,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %,Beta,Div Yield %
93.0,A+,1,NVDA,Electronic Technology,186.03,4520529104528.99,35.0,25.0,24.0,9.0,93.6,101.5,71.1,60.4,38.8,0.7,Net Cash,0.07,38.0,28.74,33.5,65.5,66.7,1.0,3.2,1.78,0.02
91.0,A+,2,LRCX,Producer Manufacturing,218.87,273318502489.55,35.0,21.0,22.0,13.0,45.8,65.6,49.8,33.8,33.7,1.16,Net Cash,0.44,44.9,26.99,37.0,26.8,48.3,-4.4,32.1,2.28,0.48
90.0,A+,3,ADBE,Technology Services,273.7,112355904493.62,35.0,25.0,18.0,12.0,38.8,55.4,88.6,36.6,41.5,1.38,0.0,0.57,16.4,9.73,11.8,10.5,34.6,2.5,-19.9,0.98,
90.0,A+,4,MNST,Consumer Non-Durables,77.52,75835545673.68,32.0,23.0,25.0,10.0,26.0,26.8,55.8,29.2,23.7,1.03,Net Cash,0.0,40.0,9.19,28.8,10.7,30.5,-6.0,4.8,0.36,
90.0,A+,5,FTNT,Technology Services,83.48,61768818551.84,35.0,25.0,18.0,12.0,86.2,135.7,80.5,30.5,32.7,1.2,Net Cash,0.86,34.4,50.12,26.6,14.2,7.4,1.5,2.3,1.25,
89.0,A,6,ABNB,Consumer Services,133.39,81196356048.58,32.0,23.0,22.0,12.0,26.4,30.2,72.3,21.2,37.5,1.84,Net Cash,0.28,33.0,9.79,26.8,10.8,-2.2,9.5,4.5,1.49,
87.0,A,7,GOOG,Technology Services,308.42,3731692803047.43,35.0,22.0,24.0,6.0,32.0,35.7,59.7,32.9,18.2,0.55,Net Cash,0.16,28.5,8.98,23.9,15.2,34.3,-4.0,-3.9,1.21,0.27
86.0,A,8,APP,Technology Services,461.45,155636941255.29,35.0,25.0,14.0,12.0,63.8,203.8,85.5,72.4,72.5,1.16,0.2,1.66,48.8,73.13,35.6,23.3,108.1,9.5,-33.8,0.44,
85.0,A,9,KLAC,Electronic Technology,1465.0,192027232322.67,35.0,23.0,16.0,11.0,43.1,100.7,60.5,42.5,36.0,1.08,0.2,1.12,42.6,35.15,33.2,17.6,44.8,1.7,19.2,1.96,0.52
84.0,A,10,MSFT,Technology Services,404.88,3006488703921.23,32.0,25.0,20.0,7.0,26.7,34.4,68.6,46.7,27.5,0.76,0.2,0.32,25.3,7.7,16.5,16.7,28.7,0.0,-15.1,-0.22,
83.0,A,11,VRTX,Health Technology,492.38,125081360271.92,27.0,25.0,24.0,7.0,20.4,22.5,86.3,39.4,26.5,0.81,Net Cash,0.11,32.1,6.7,24.3,9.9,,3.2,10.5,0.32,
83.0,A,12,ADP,Technology Services,213.0,85763250728.77,35.0,21.0,18.0,9.0,44.4,73.8,50.4,26.3,22.4,1.13,0.3,0.7,20.5,13.43,14.3,6.6,8.6,-7.9,-17.9,0.56,3.13
82.0,A,13,AAPL,Electronic Technology,260.81,3828987834590.15,35.0,21.0,16.0,10.0,74.6,152.0,47.3,32.4,29.6,1.1,0.2,1.03,33.0,43.48,25.2,10.1,25.6,-6.2,-6.6,1.39,0.4
82.0,A,14,META,Technology Services,654.86,1656504700782.17,29.0,25.0,20.0,8.0,22.8,30.2,82.0,41.4,22.9,0.76,0.0,0.39,27.9,7.63,16.3,22.2,-1.8,-1.3,1.8,1.46,0.32
82.0,A,15,IDXX,Health Technology,600.52,47815821186.46,35.0,23.0,16.0,8.0,50.2,66.2,61.9,31.7,24.5,0.99,0.5,0.61,45.9,29.82,32.2,10.4,22.6,-7.3,-14.3,0.89,
82.0,A,16,ZM,Technology Services,76.05,22409416035.42,27.0,23.0,24.0,8.0,20.2,20.3,77.0,23.1,39.5,1.01,Net Cash,0.01,12.2,2.29,11.7,4.4,93.9,-16.9,-13.6,1.08,
81.0,A,17,AMAT,Producer Manufacturing,351.07,278612618635.58,32.0,21.0,22.0,6.0,29.6,38.9,48.7,29.7,21.8,0.89,Net Cash,0.33,36.0,12.83,31.3,2.2,27.7,10.6,29.4,1.69,0.53
81.0,A,18,ISRG,Health Technology,492.87,175033048035.47,22.0,25.0,24.0,10.0,16.6,16.7,66.0,29.3,24.7,0.87,Net Cash,0.01,62.6,9.82,47.4,20.5,22.8,1.4,-9.6,1.2,
81.0,A,19,ADSK,Technology Services,251.83,53136131277.75,29.0,23.0,16.0,13.0,21.3,39.7,85.5,20.3,33.5,2.14,0.1,0.9,48.1,17.53,31.9,17.8,2.1,5.4,-16.0,0.71,
81.0,A,20,DXCM,Health Technology,66.31,25520387728.6,29.0,19.0,20.0,13.0,22.1,34.5,60.4,19.6,23.1,1.29,Net Cash,0.51,31.7,9.29,21.4,15.6,46.9,-3.9,-2.5,1.34,
80.0,A,21,NFLX,Technology Services,94.89,400640972648.79,32.0,21.0,18.0,9.0,26.6,42.8,48.6,29.6,20.9,0.86,0.3,0.64,37.5,15.05,13.5,16.5,27.5,15.5,1.1,0.85,
80.0,A,22,INTU,Technology Services,440.45,121806445398.41,24.0,25.0,18.0,13.0,17.6,23.5,77.7,27.1,36.3,1.77,0.6,0.36,28.6,6.41,20.0,17.2,44.0,0.4,-33.2,0.49,1.06
80.0,A,23,CDNS,Technology Services,294.16,80203020783.76,21.0,25.0,22.0,12.0,14.4,21.9,85.6,31.7,30.0,1.43,Net Cash,0.49,72.5,14.61,41.8,14.1,5.3,3.8,-13.0,1.16,
79.0,B+,24,PDD,Retail Trade,102.94,145980478855.0,32.0,16.0,24.0,7.0,29.5,30.0,56.6,22.1,,,Net Cash,0.03,10.8,2.61,,12.4,-6.0,-2.4,-8.5,1.07,
