Quality Score,Grade,Rank,Ticker,Sector,Price,Market Cap,P1 Return on Capital,P2 Profitability,P3 Balance Sheet,P4 Capital Efficiency,ROIC %,ROE %,Gross Margin %,Op Margin %,FCF Margin %,FCF/NI,Net Debt/EBITDA,D/E,P/E,P/B,EV/EBITDA,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %,Beta,Div Yield %
98.0,A+,1,ANET,Electronic Technology,138.23,173691219796.99,35.0,23.0,25.0,15.0,31.3,31.4,64.1,42.8,47.2,1.21,Net Cash,0.0,50.2,14.04,41.5,28.6,23.7,-0.0,2.0,2.07,
96.0,A+,2,PLTR,Technology Services,151.6,362578035130.0,32.0,25.0,24.0,15.0,25.5,26.2,82.4,31.6,46.9,1.29,Net Cash,0.03,239.6,49.07,247.0,56.2,234.6,11.0,-18.0,2.06,
96.0,A+,3,CRDO,Technology Services,115.91,21379592420.34,32.0,25.0,24.0,15.0,27.3,27.5,67.8,30.3,65.0,5.44,Net Cash,0.01,64.3,11.55,57.4,226.1,13061.3,2.2,-27.4,2.76,
93.0,A+,4,NVDA,Electronic Technology,186.03,4520529104528.99,35.0,25.0,24.0,9.0,93.6,101.5,71.1,60.4,38.8,0.7,Net Cash,0.07,38.0,28.74,33.5,65.5,66.7,1.0,3.2,1.78,0.02
93.0,A+,5,INCY,Health Technology,94.66,18838710073.86,32.0,25.0,24.0,12.0,29.5,29.9,91.5,26.1,26.3,1.05,Net Cash,0.01,14.8,3.64,10.7,21.2,2261.1,-12.8,-0.3,0.32,
92.0,A+,6,TPL,Miscellaneous,524.83,36182594999.68,35.0,25.0,24.0,8.0,36.9,37.2,85.5,74.2,60.3,1.0,Net Cash,0.01,75.3,24.8,55.1,13.1,6.1,43.0,77.9,1.11,0.46
91.0,A+,7,LRCX,Producer Manufacturing,218.87,273318502489.55,35.0,21.0,22.0,13.0,45.8,65.6,49.8,33.8,33.7,1.16,Net Cash,0.44,44.9,26.99,37.0,26.8,48.3,-4.4,32.1,2.28,0.48
91.0,A+,8,UI,Electronic Technology,765.86,46350456256.64,35.0,21.0,24.0,11.0,100.0,136.1,45.4,35.1,27.2,0.98,Net Cash,0.11,52.2,45.62,43.4,38.2,99.5,24.0,31.1,1.65,0.42
90.0,A+,9,ADBE,Technology Services,273.7,112355904493.62,35.0,25.0,18.0,12.0,38.8,55.4,88.6,36.6,41.5,1.38,0.0,0.57,16.4,9.73,11.8,10.5,34.6,2.5,-19.9,0.98,
90.0,A+,10,MNST,Consumer Non-Durables,77.52,75835545673.68,32.0,23.0,25.0,10.0,26.0,26.8,55.8,29.2,23.7,1.03,Net Cash,0.0,40.0,9.19,28.8,10.7,30.5,-6.0,4.8,0.36,
90.0,A+,11,FTNT,Technology Services,83.48,61768818551.84,35.0,25.0,18.0,12.0,86.2,135.7,80.5,30.5,32.7,1.2,Net Cash,0.86,34.4,50.12,26.6,14.2,7.4,1.5,2.3,1.25,
89.0,A,12,ABNB,Consumer Services,133.39,81196356048.58,32.0,23.0,22.0,12.0,26.4,30.2,72.3,21.2,37.5,1.84,Net Cash,0.28,33.0,9.79,26.8,10.8,-2.2,9.5,4.5,1.49,
89.0,A,13,BAM,Finance,44.67,73177001658.68,35.0,25.0,18.0,11.0,36.2,43.9,96.3,59.9,47.0,0.91,0.7,0.45,28.7,8.87,26.0,969.0,25.0,-10.2,-19.7,1.26,3.27
89.0,A,14,RDDT,Technology Services,137.12,26194829421.46,27.0,23.0,24.0,15.0,20.8,20.9,90.5,20.1,31.1,1.29,Net Cash,0.01,51.5,8.94,51.8,69.4,,-1.6,-41.8,2.23,
88.0,A,15,V,Finance,308.96,588880637571.86,35.0,25.0,18.0,10.0,36.3,53.4,78.0,67.2,57.3,1.15,0.0,0.55,29.3,15.42,20.3,12.5,7.8,-6.6,-7.1,0.91,0.85
88.0,A,16,AU,Non-Energy Minerals,106.27,54659116542.0,32.0,21.0,22.0,13.0,27.9,35.8,52.2,43.9,31.7,1.19,Net Cash,0.28,20.4,,,118.3,5513.9,2.5,30.0,0.75,3.29
87.0,A,17,GOOG,Technology Services,308.42,3731692803047.43,35.0,22.0,24.0,6.0,32.0,35.7,59.7,32.9,18.2,0.55,Net Cash,0.16,28.5,8.98,23.9,15.2,34.3,-4.0,-3.9,1.21,0.27
87.0,A,18,RMD,Health Technology,240.15,34984669230.39,29.0,23.0,24.0,11.0,23.0,25.7,60.0,34.2,34.8,1.28,Net Cash,0.13,23.7,5.53,16.4,9.6,19.5,-11.7,-4.5,0.75,0.97
86.0,A,19,APP,Technology Services,461.45,155636941255.29,35.0,25.0,14.0,12.0,63.8,203.8,85.5,72.4,72.5,1.16,0.2,1.66,48.8,73.13,35.6,23.3,108.1,9.5,-33.8,0.44,
85.0,A,20,KLAC,Electronic Technology,1465.0,192027232322.67,35.0,23.0,16.0,11.0,43.1,100.7,60.5,42.5,36.0,1.08,0.2,1.12,42.6,35.15,33.2,17.6,44.8,1.7,19.2,1.96,0.52
85.0,A,21,NTES,Technology Services,115.26,73751104805.31,27.0,23.0,24.0,11.0,22.3,22.4,64.3,31.8,44.0,1.47,Net Cash,0.04,15.8,,9.7,7.1,14.0,-6.4,-14.8,0.77,2.52
85.0,A,22,AMP,Finance,450.69,41093464225.32,35.0,21.0,18.0,11.0,30.7,60.5,52.6,25.6,44.7,2.38,Net Cash,0.94,12.4,6.28,7.8,5.1,9.9,-16.5,-9.2,1.15,1.4
84.0,A,23,MSFT,Technology Services,404.88,3006488703921.23,32.0,25.0,20.0,7.0,26.7,34.4,68.6,46.7,27.5,0.76,0.2,0.32,25.3,7.7,16.5,16.7,28.7,0.0,-15.1,-0.22,
84.0,A,24,MA,Finance,504.0,449473370909.73,35.0,25.0,13.0,11.0,58.4,210.5,96.5,60.1,51.5,1.13,0.4,2.54,30.5,58.24,21.9,16.6,19.0,-7.3,-7.1,0.92,0.68
84.0,A,25,FUTU,Finance,152.64,21382560108.0,32.0,20.0,22.0,10.0,29.9,30.2,94.5,67.1,,,Net Cash,0.37,17.1,4.54,,81.1,119.1,0.2,-10.6,1.52,
84.0,A,26,ALAB,Electronic Technology,124.71,21227450008.06,22.0,23.0,24.0,15.0,18.6,18.8,75.7,20.3,33.1,1.29,Net Cash,0.02,102.3,15.56,111.3,115.1,,-26.5,-22.8,2.09,
83.0,A,27,VRTX,Health Technology,492.38,125081360271.92,27.0,25.0,24.0,7.0,20.4,22.5,86.3,39.4,26.5,0.81,Net Cash,0.11,32.1,6.7,24.3,9.9,,3.2,10.5,0.32,
83.0,A,28,ADP,Technology Services,213.0,85763250728.77,35.0,21.0,18.0,9.0,44.4,73.8,50.4,26.3,22.4,1.13,0.3,0.7,20.5,13.43,14.3,6.6,8.6,-7.9,-17.9,0.56,3.13
83.0,A,29,NTAP,Electronic Technology,97.58,19255502508.26,35.0,23.0,15.0,10.0,38.4,112.6,70.3,23.2,24.5,1.36,Net Cash,2.36,16.3,16.68,10.8,3.0,10.6,-4.8,-18.2,1.38,2.15
82.0,A,30,AAPL,Electronic Technology,260.81,3828987834590.15,35.0,21.0,16.0,10.0,74.6,152.0,47.3,32.4,29.6,1.1,0.2,1.03,33.0,43.48,25.2,10.1,25.6,-6.2,-6.6,1.39,0.4
82.0,A,31,META,Technology Services,654.86,1656504700782.17,29.0,25.0,20.0,8.0,22.8,30.2,82.0,41.4,22.9,0.76,0.0,0.39,27.9,7.63,16.3,22.2,-1.8,-1.3,1.8,1.46,0.32
82.0,A,32,MPWR,Electronic Technology,1071.09,52609795976.31,22.0,23.0,24.0,13.0,18.4,18.4,55.2,26.1,23.9,1.07,Net Cash,0.01,84.1,14.77,65.8,26.4,-65.3,-11.9,10.7,1.89,0.76
82.0,A,33,IDXX,Health Technology,600.52,47815821186.46,35.0,23.0,16.0,8.0,50.2,66.2,61.9,31.7,24.5,0.99,0.5,0.61,45.9,29.82,32.2,10.4,22.6,-7.3,-14.3,0.89,
82.0,A,34,ZM,Technology Services,76.05,22409416035.42,27.0,23.0,24.0,8.0,20.2,20.3,77.0,23.1,39.5,1.01,Net Cash,0.01,12.2,2.29,11.7,4.4,93.9,-16.9,-13.6,1.08,
81.0,A,35,AMAT,Producer Manufacturing,351.07,278612618635.58,32.0,21.0,22.0,6.0,29.6,38.9,48.7,29.7,21.8,0.89,Net Cash,0.33,36.0,12.83,31.3,2.2,27.7,10.6,29.4,1.69,0.53
81.0,A,36,ISRG,Health Technology,492.87,175033048035.47,22.0,25.0,24.0,10.0,16.6,16.7,66.0,29.3,24.7,0.87,Net Cash,0.01,62.6,9.82,47.4,20.5,22.8,1.4,-9.6,1.2,
