rank,ticker,sector,score,grade,price,mktcap,eps_g,rev_g,roe,roic,n_ratio,p3m,p1m,pe,beta
1,VRT,Electronic Technology,100.0,A+,258.88,99047096382.78696,164.9,27.7,41.8,21.2,93.5,49.4,11.0,75.9,2.12
2,WDC,Electronic Technology,100.0,A+,272.29,92316636282.88234,137.6,-31.2,41.3,26.7,87.9,47.7,-1.0,27.3,2.21
3,LNG,Industrial Services,100.0,A+,252.27,53027883838.85467,70.8,24.4,78.2,16.6,97.3,31.2,14.7,10.4,0.59
4,FIX,Industrial Services,100.0,A+,1365.34,48025792133.273994,97.8,29.5,49.2,42.0,91.0,35.0,3.9,47.3,1.67
5,UI,Electronic Technology,100.0,A+,759.84,45986120347.31189,99.5,38.2,136.1,100.0,94.6,31.2,4.4,51.8,1.65
6,MSI,Electronic Technology,99.0,A+,473.12,78376541975.1079,38.4,8.0,104.7,22.6,96.1,28.0,12.8,37.1,0.47
7,MU,Electronic Technology,98.0,A+,426.13,479613275576.3743,203.8,45.4,22.6,18.1,93.6,66.7,7.8,40.5,2.4
8,CF,Process Industries,98.0,A+,129.57,19910869427.549778,32.9,19.3,29.6,17.6,94.3,63.3,33.7,14.4,0.06
9,JNJ,Health Technology,95.0,A+,241.52,582038772409.3552,90.5,6.0,35.0,23.7,96.0,14.9,0.9,21.9,0.18
10,GEV,Producer Manufacturing,95.0,A+,805.02,216976618153.8772,216.2,8.9,47.1,43.5,90.0,15.4,-2.2,45.3,1.25
11,KEYS,Electronic Technology,95.0,A+,279.78,47982969925.89709,58.6,13.1,17.2,12.2,88.3,31.2,18.6,50.5,1.5
12,TPL,Miscellaneous,93.0,A+,531.13,36616924065.362854,6.1,13.1,37.2,36.9,97.1,78.0,30.2,76.2,1.11
13,WWD,Producer Manufacturing,93.0,A+,356.8,21270941493.27879,32.8,14.5,20.4,16.9,88.5,20.2,-8.9,44.9,1.25
14,GILD,Health Technology,92.0,A+,144.99,179993571289.28317,1747.5,2.5,40.5,18.9,92.2,18.0,-2.6,21.4,0.25
15,AMAT,Producer Manufacturing,91.0,A+,341.53,271041567777.45157,27.7,2.2,38.9,29.6,86.3,27.8,1.1,35.0,1.69
16,LRCX,Producer Manufacturing,91.0,A+,212.2,264989212319.1474,48.3,26.8,65.6,45.8,82.7,27.2,-9.9,43.5,2.28
17,PSX,Energy Minerals,91.0,A+,172.74,69224520309.32861,119.7,-7.6,15.6,9.2,96.8,20.2,8.3,15.9,1.12
18,MPC,Energy Minerals,91.0,A+,226.18,66664327625.91925,34.1,-4.3,23.1,8.8,95.8,20.4,9.5,17.0,0.95
19,EME,Industrial Services,91.0,A+,709.91,31614115282.897625,31.4,16.6,38.5,35.1,85.0,10.7,-11.3,25.1,1.26
20,MTZ,Industrial Services,91.0,A+,290.0,22879501291.328506,146.9,16.2,12.9,7.3,93.4,24.9,8.3,57.2,1.37
21,FTI,Industrial Services,90.0,A+,63.03,25214833534.216408,20.4,9.4,29.9,21.6,92.3,34.8,3.5,27.3,1.1
22,AMGN,Health Technology,89.0,A+,366.21,197411982605.18802,88.6,10.6,106.1,12.6,93.6,15.4,0.3,25.7,0.39
23,VG,Industrial Services,89.0,A+,13.1,32186312119.97651,51.8,176.9,41.9,7.0,67.2,110.3,26.7,14.2,0.8
24,CRS,Non-Energy Minerals,89.0,A+,361.28,17995254903.926407,62.5,2.3,23.5,17.1,87.6,12.0,-1.0,42.0,1.67
25,CIEN,Electronic Technology,87.0,A,337.38,47704997794.13266,191.7,26.5,8.2,5.3,92.2,43.0,9.8,214.3,1.67
26,CTRA,Energy Minerals,87.0,A,32.15,24410617119.016575,49.5,33.6,12.3,9.7,98.4,20.7,4.0,14.3,0.34
27,HWM,Electronic Technology,86.0,A,236.75,94922562879.08191,32.1,11.1,30.4,18.5,88.6,19.5,3.2,63.7,1.27
28,KLAC,Electronic Technology,85.0,A,1418.64,185950521138.12314,44.8,17.6,100.7,43.1,83.8,15.3,-3.4,41.2,1.96
29,T,Communications,84.0,A,27.72,194055994230.50598,104.4,2.7,20.4,8.8,93.1,13.7,1.6,9.1,0.22
30,CCEP,Consumer Non-Durables,84.0,A,100.46,45126453840.54627,45.6,6.8,24.4,10.9,90.6,12.5,4.3,20.7,0.2
31,EQT,Energy Minerals,83.0,A,64.37,40184516152.150215,706.3,60.0,9.2,6.7,98.5,14.4,14.9,19.4,0.44
32,CHRW,Transportation,82.0,A,169.39,20093183202.111946,25.4,-8.4,32.9,19.2,83.3,5.7,-14.3,35.0,1.03
33,USFD,Distribution Services,81.0,A,94.63,20869884526.69215,45.9,4.1,15.3,7.0,92.7,23.0,4.1,32.2,0.49
34,SCCO,Non-Energy Minerals,80.0,A,170.83,139927378695.83264,26.7,17.4,42.9,25.5,76.3,15.6,-16.4,32.9,1.55
35,GLW,Electronic Technology,80.0,A,129.12,110778264916.56438,215.0,19.1,14.2,8.3,79.7,35.3,-1.7,70.2,1.16
36,WMB,Industrial Services,80.0,A,73.34,89589434422.17738,17.5,9.8,20.7,6.7,95.4,21.2,5.1,34.4,0.24
37,AU,Non-Energy Minerals,80.0,A,94.89,52861714597.0,5513.9,118.3,35.8,27.9,73.5,9.5,-14.8,18.3,0.75
