Growth Score,Ticker,Sector,Tier,Price,Target (Bear),Target (Base),Target (Bull),Upside %,Fwd PEG,PEG Target,Rev Target,S-Curve TAM Target,Fwd EPS,EPS Source,Fwd EPS Growth %,EPS Growth QoQ %,Rev Growth % (Fwd),Rev Growth QoQ %,P/E (TTM),Gross Margin %,Op Margin %,Net Margin %,FCF Margin %,ROE %,Perf 1M %,Perf 3M %,Perf 6M %,52wk Position %,TV Rating,Momentum Score,Market Cap,Beta,Flags
90.6,SEZL,Technology Services,EXCEPTIONAL GROWTH,73.47,134.02,170.62,219.6,132.2,0.77,119.7,127.99,366.3,4.69,analyst_fy,25.5,72.3,49.1,32.2,19.7,72.9,39.3,29.6,46.5,103.3,17.0,11.0,-14.8,30.0,Buy,15.0,2483409022.0,2.16,
83.0,ADEA,Technology Services,EXCEPTIONAL GROWTH,19.87,39.34,49.68,59.11,150.0,0.51,54.83,23.93,91.32,1.38,analyst_fy,39.8,105.7,42.7,53.3,20.2,86.8,45.4,25.1,35.2,25.3,14.2,60.5,28.3,88.5,Buy,16.0,2166873376.0,1.64,
81.4,DAVE,Finance,EXCEPTIONAL GROWTH,217.33,434.66,543.33,651.99,150.0,,,547.34,2088.62,,analyst_fy,,292.5,61.5,62.2,16.1,72.6,34.9,35.4,52.3,73.1,29.4,4.8,8.8,68.7,Buy,8.0,2946907420.0,1.98,
80.0,SSRM,Non-Energy Minerals,EXCEPTIONAL GROWTH,30.53,61.06,76.33,91.59,150.0,0.12,178.33,81.04,270.11,4.46,analyst_fy,140.1,3094.8,71.6,68.7,16.4,35.7,28.9,24.3,14.8,11.9,23.1,41.1,46.7,88.1,Buy,19.0,6207551151.081525,2.65,
79.0,JHG,Finance,EXCEPTIONAL GROWTH,51.36,102.72,128.4,154.08,150.0,,,124.0,633.75,,analyst_fy,,241.6,52.2,63.1,9.8,79.5,35.2,24.7,22.0,16.4,6.9,16.2,13.3,90.6,Buy,12.0,7913323285.000001,1.31,
78.0,AUPH,Health Technology,EXCEPTIONAL GROWTH,14.32,28.64,35.8,42.96,150.0,,,62.98,86.14,,analyst_fy,,15628.9,26.3,28.8,6.9,88.5,41.0,101.5,47.9,59.9,-5.8,-6.8,14.0,77.1,Sell,2.0,1904144360.9999998,0.18,
76.7,WT,Miscellaneous,EXCEPTIONAL GROWTH,16.62,27.45,35.6,41.18,114.2,0.45,44.6,25.44,47.57,1.11,analyst_fy,50.2,58.2,27.9,33.2,22.4,77.6,36.2,22.0,29.9,26.6,0.4,47.5,19.7,89.6,Neutral,12.0,2353669660.0000005,1.09,
75.1,CF,Process Industries,EXCEPTIONAL GROWTH,115.78,231.56,289.45,347.34,150.0,,,205.23,531.48,,analyst_fy,,36.9,21.8,22.8,12.9,42.3,37.1,20.5,25.4,29.6,28.1,44.7,37.8,91.1,Strong Buy,15.0,17791776167.0,0.12,
75.0,SLDE,Technology Services,EXCEPTIONAL GROWTH,18.48,36.96,46.2,55.44,150.0,,,129.21,428.97,,analyst_fy,,105.0,42.8,45.4,1.6,,51.3,38.4,68.7,57.4,7.8,15.4,32.5,44.5,Buy,14.0,2297422540.0,0.27,
75.0,ASA,Miscellaneous,EXCEPTIONAL GROWTH,72.89,145.78,182.22,218.67,150.0,0.03,2541.07,1741.79,1099.93,63.53,ttm×growth,80.0,,119.6,,2.1,96.6,453.2,448.2,,86.0,5.2,36.0,88.0,82.6,Neutral,14.0,1383339590.0,0.71,
