Growth Score,Ticker,Sector,Tier,Price,Target (Bear),Target (Base),Target (Bull),Upside %,Fwd PEG,PEG Target,Rev Target,S-Curve TAM Target,Fwd EPS,EPS Source,Fwd EPS Growth %,EPS Growth QoQ %,Rev Growth % (Fwd),Rev Growth QoQ %,P/E (TTM),Gross Margin %,Op Margin %,Net Margin %,FCF Margin %,ROE %,Perf 1M %,Perf 3M %,Perf 6M %,52wk Position %,TV Rating,Momentum Score,Market Cap,Beta,Flags
76.5,MU,Electronic Technology,EXCEPTIONAL GROWTH,372.04,200.22,350.13,622.78,-5.9,0.16,1380.83,532.61,738.77,34.52,analyst_fy,228.1,176.3,53.3,56.7,35.4,45.5,32.9,28.1,11.0,22.6,-1.6,52.2,165.7,78.8,Neutral,9.0,418734457739.01825,2.4,
76.0,NVDA,Electronic Technology,EXCEPTIONAL GROWTH,178.68,223.96,263.89,329.62,47.7,0.53,329.92,228.93,1135.82,8.25,analyst_fy,68.3,96.6,70.9,73.2,36.5,71.1,60.4,55.6,38.8,101.5,1.1,-3.7,1.2,73.3,Sell,1.0,4341924178839.7695,0.33,
75.1,CF,Process Industries,EXCEPTIONAL GROWTH,121.36,141.2,175.05,219.82,44.2,,,205.23,531.48,,analyst_fy,,36.9,21.8,22.8,13.5,42.3,37.1,20.5,25.4,29.6,31.6,56.2,43.6,99.8,Strong Buy,15.0,18650016535.739807,0.06,
72.0,INCY,Health Technology,EXCEPTIONAL GROWTH,94.7,145.6,184.22,205.07,94.5,0.84,133.24,177.83,427.29,7.54,analyst_fy,17.7,43.4,25.9,27.8,14.8,91.5,26.1,25.0,26.3,29.9,-8.7,-1.9,10.4,70.1,Sell,0.0,18847666864.212738,0.32,
70.7,NEM,Non-Energy Minerals,EXCEPTIONAL GROWTH,112.2,112.89,142.25,194.87,26.8,0.31,398.77,195.39,266.6,9.97,analyst_fy,56.1,-3.8,16.7,14.8,17.6,49.8,46.9,32.1,33.0,22.2,1.7,24.7,45.1,75.4,Sell,8.0,122059493783.5635,0.69,
69.5,INTU,Technology Services,STRONG GROWTH,472.24,816.36,868.19,955.09,83.8,0.61,928.04,389.84,621.17,23.2,analyst_fy,50.5,48.7,17.3,17.4,30.6,77.7,27.1,21.6,34.0,23.5,8.0,-27.7,-29.5,26.5,Neutral,6.0,130596587130.10973,0.49,
69.5,EQT,Energy Minerals,EXCEPTIONAL GROWTH,62.33,72.76,78.93,83.41,26.6,0.42,191.42,95.81,386.63,4.79,analyst_fy,44.4,55.1,42.9,25.8,18.8,43.1,35.7,24.4,34.0,9.2,12.1,6.1,23.6,96.3,Strong Buy,13.0,38910997023.711426,0.44,
69.5,CTRA,Energy Minerals,EXCEPTIONAL GROWTH,31.64,28.27,39.49,51.0,24.8,,,59.39,167.36,,analyst_fy,,19.0,28.7,23.8,14.1,34.4,28.7,23.5,22.4,12.3,4.2,19.4,32.5,90.0,Buy,17.0,24023388920.34805,0.34,
69.0,KEYS,Electronic Technology,STRETCHED VALUATION,274.33,132.45,172.57,244.55,-37.1,0.83,354.14,156.73,193.62,8.85,analyst_fy,59.9,67.2,20.2,23.3,49.5,62.0,19.9,17.3,23.4,17.2,21.6,31.3,62.3,78.2,Buy,16.0,47049137742.36735,1.5,
67.0,PTC,Technology Services,MODERATE GROWTH,161.26,156.39,175.97,191.63,9.1,1.29,147.2,161.17,310.77,8.09,analyst_fy,18.2,104.4,22.5,21.4,23.6,82.6,39.3,28.9,31.0,23.3,3.2,-7.4,-21.0,32.3,Neutral,8.0,19189314560.75607,0.9,
65.7,AVGO,Electronic Technology,STRETCHED VALUATION,338.55,94.26,351.93,617.62,4.0,0.57,443.9,199.57,227.63,11.1,analyst_fy,116.6,31.8,28.2,29.5,66.1,65.0,41.6,36.6,42.3,33.4,5.8,-15.1,-3.7,72.5,Buy,8.0,1605158340934.013,2.16,
64.5,LRCX,Producer Manufacturing,STRETCHED VALUATION,200.5,97.69,126.95,171.18,-36.7,4.52,48.42,127.56,165.7,5.32,analyst_fy,9.1,37.0,24.5,22.1,41.1,49.8,33.8,30.2,30.2,65.6,-9.1,24.7,87.9,72.0,Neutral,8.0,250378587016.85144,2.28,
63.5,KLAC,Electronic Technology,STRETCHED VALUATION,1360.44,848.81,1137.85,1306.68,-16.4,6.49,222.47,860.58,758.98,36.52,analyst_fy,6.1,41.8,12.3,7.1,39.5,60.5,42.5,35.8,34.4,100.7,-1.2,11.9,47.6,70.8,Neutral,9.0,178321875743.1383,1.96,
63.0,GRMN,Electronic Technology,STRETCHED VALUATION,238.93,194.16,228.88,282.28,-4.2,2.99,87.2,224.32,296.8,9.39,analyst_fy,9.3,21.3,16.1,16.6,27.8,58.7,25.9,23.0,18.8,19.8,19.1,18.7,0.3,75.4,Buy,12.0,45990292005.953125,1.29,
63.0,TER,Electronic Technology,STRETCHED VALUATION,283.83,77.56,199.94,331.17,-29.6,0.97,256.26,118.33,230.15,6.41,analyst_fy,83.9,82.1,34.9,44.1,81.5,57.9,21.7,17.4,14.1,19.7,0.8,41.8,147.1,78.1,Neutral,9.0,44435274431.448784,1.72,
62.0,APH,Electronic Technology,STRONG GROWTH,132.12,82.28,137.41,167.84,4.0,1.28,135.67,129.56,388.53,4.37,analyst_fy,31.0,57.7,50.4,49.1,39.6,36.9,25.9,18.5,19.0,36.8,-0.0,-5.4,12.0,68.4,Sell,4.0,162403859142.55826,1.52,
62.0,CBOE,Finance,STRETCHED VALUATION,299.75,239.63,290.03,345.54,-3.2,2.3,146.57,135.21,377.76,11.73,analyst_fy,12.5,59.8,11.9,8.7,28.7,48.9,32.1,23.2,24.5,23.2,12.1,17.9,28.4,94.3,Buy,14.0,31373616821.33138,-0.01,
60.0,BKNG,Consumer Services,EXCEPTIONAL GROWTH,4379.59,3974.69,4683.97,5087.65,7.0,0.43,10736.05,4470.21,7218.28,268.4,analyst_fy,61.6,38.4,15.2,16.0,26.4,97.1,35.2,20.1,33.8,,-1.4,-15.0,-21.3,29.6,Sell,4.0,138716272865.49475,-0.51,
59.7,WDC,Electronic Technology,STRETCHED VALUATION,253.43,81.95,171.93,274.24,-32.2,,,300.01,97.28,,analyst_fy,,259.3,8.3,25.2,25.4,42.7,27.9,37.0,21.5,41.3,-6.3,49.3,164.3,79.9,Neutral,7.0,85920688259.13333,2.21,
59.6,ADI,Electronic Technology,FAIRLY PRICED,310.19,140.71,258.9,330.47,-16.5,0.53,451.87,165.91,241.59,11.3,analyst_fy,106.4,115.3,29.1,30.4,56.7,56.5,29.8,23.0,38.8,7.9,-4.0,11.7,24.9,74.1,Sell,6.0,151436048025.4128,1.83,
59.5,MSFT,Technology Services,STRETCHED VALUATION,405.81,444.45,496.21,582.35,22.3,8.21,50.93,405.46,619.5,16.48,analyst_fy,3.1,59.7,16.7,16.7,25.4,68.6,46.7,39.0,25.3,34.4,1.7,-17.0,-19.3,29.0,Sell,4.0,3013357275339.2866,-0.23,
59.2,META,Technology Services,STRONG GROWTH,632.73,620.92,724.04,788.83,14.4,1.01,789.29,810.36,1652.8,29.73,analyst_fy,26.6,10.7,23.3,23.8,26.9,82.0,41.4,30.1,22.9,30.2,-4.9,-4.7,-17.3,48.3,Sell,4.0,1600525583758.9443,-0.26,
59.0,GILD,Health Technology,STRONG GROWTH,144.34,90.26,105.7,135.08,-26.8,0.75,245.13,154.71,166.15,8.69,analyst_fy,28.2,23.0,4.4,5.2,21.3,78.8,40.1,28.9,32.1,40.5,-3.6,19.2,24.9,79.7,Buy,8.0,179192837605.65756,0.25,
59.0,TPR,Retail Trade,STRONG GROWTH,138.76,64.57,102.06,143.87,-26.4,0.34,258.27,63.12,355.69,6.46,analyst_fy,167.6,93.8,13.1,14.0,57.5,72.3,20.8,7.0,21.9,55.3,-4.6,19.0,29.6,77.6,Sell,6.0,28093933719.436974,1.15,HIGH DEBT
58.9,LMT,Electronic Technology,MODERATE GROWTH,670.64,415.15,473.81,515.87,-29.4,0.79,1181.55,505.72,647.0,29.96,analyst_fy,39.4,160.6,8.1,9.1,31.2,10.2,10.2,6.7,9.2,76.9,9.1,43.8,47.0,92.4,Buy,18.0,154301010411.73495,0.26,HIGH DEBT
58.8,AON,Finance,FAIRLY PRICED,334.78,352.37,413.38,496.15,23.5,1.61,233.16,396.79,483.08,19.1,analyst_fy,12.2,138.4,7.0,4.2,19.7,89.2,27.9,21.4,18.6,47.8,-2.9,-2.8,-8.2,30.8,Neutral,7.0,71728123244.84058,0.34,
58.6,GOOG,Technology Services,MODERATE GROWTH,298.02,162.32,186.37,210.8,-37.5,4.65,67.87,667.48,897.65,11.45,analyst_fy,5.9,31.1,17.3,18.2,27.6,59.7,32.9,32.8,18.2,35.7,-9.0,-4.8,24.6,74.9,Sell,3.0,3606611405484.04,1.21,
58.5,NFLX,Technology Services,STRETCHED VALUATION,96.92,79.83,83.0,86.59,-14.4,1.57,77.01,69.2,109.99,3.15,analyst_fy,24.5,31.3,18.3,19.1,38.4,48.6,29.6,24.3,20.9,42.8,19.6,-0.1,-23.3,37.1,Buy,8.0,409233048577.72894,0.85,
58.0,ANET,Electronic Technology,STRETCHED VALUATION,132.4,75.44,143.53,220.21,8.4,1.71,98.95,89.73,134.06,3.53,analyst_fy,28.1,20.2,28.8,28.9,48.1,64.1,42.8,39.0,47.2,31.4,0.8,2.9,-9.0,69.2,Sell,4.0,166359326800.169,2.07,
57.7,AMAT,Producer Manufacturing,STRETCHED VALUATION,323.12,186.15,245.39,301.0,-24.1,2.56,142.77,241.87,131.43,11.03,analyst_fy,12.9,75.3,0.0,-2.1,33.1,48.7,29.7,27.8,22.0,38.9,4.4,21.4,96.7,73.2,Sell,10.0,256431211312.14584,1.69,
57.7,ADBE,Technology Services,EXCEPTIONAL GROWTH,278.25,516.71,536.25,557.22,92.7,0.41,936.99,447.53,493.37,23.42,analyst_fy,40.2,17.2,10.5,10.5,16.7,88.6,36.6,30.0,41.4,55.4,2.4,-18.5,-21.9,17.0,Neutral,3.0,114221623033.9433,0.98,
57.5,STX,Electronic Technology,FAIRLY PRICED,358.62,172.13,307.42,375.07,-14.3,0.88,517.34,243.75,271.15,12.93,analyst_fy,46.3,68.0,23.3,21.5,40.6,38.6,25.6,19.6,16.7,,-15.9,25.5,85.8,74.5,Neutral,8.0,78206448107.19884,1.99,HIGH DEBT
57.5,FSLR,Electronic Technology,EXCEPTIONAL GROWTH,192.71,246.85,265.6,280.86,37.8,0.47,532.88,336.6,535.36,18.34,analyst_fy,29.1,32.4,17.6,11.1,13.6,40.9,32.5,29.3,22.7,17.4,-17.6,-24.1,-5.4,44.9,Sell,0.0,20680169774.63909,1.19,
57.0,GEV,Producer Manufacturing,STRETCHED VALUATION,809.0,351.83,529.95,740.86,-34.5,,,465.3,384.57,,analyst_fy,,662.2,6.3,3.7,45.5,20.3,4.9,12.8,9.7,47.1,6.7,31.1,29.4,86.6,Buy,15.0,218049343908.35248,1.25,
56.9,CNX,Energy Minerals,EXCEPTIONAL GROWTH,41.11,34.59,48.76,66.51,18.6,,,107.4,466.85,,analyst_fy,,,38.5,28.3,11.2,46.8,37.1,29.6,24.9,15.0,5.0,0.9,42.4,84.3,Buy,13.0,5852756088.669317,0.42,
56.5,JNJ,Health Technology,STRETCHED VALUATION,240.76,142.12,157.56,177.76,-34.6,4.62,54.6,261.16,331.54,11.57,analyst_fy,4.7,48.4,8.2,9.1,21.8,68.0,27.2,28.5,20.9,35.0,0.8,18.7,36.6,90.1,Neutral,10.0,580207250640.2546,0.18,
56.5,GLW,Electronic Technology,STRETCHED VALUATION,126.48,49.63,77.65,131.01,-38.6,1.01,123.42,52.26,79.53,3.09,analyst_fy,67.8,73.2,20.0,20.4,68.8,35.3,15.3,10.2,9.0,14.2,10.1,44.1,72.9,71.5,Neutral,12.0,108513279038.50435,1.16,
56.5,MKTX,Finance,STRETCHED VALUATION,187.14,161.69,186.9,229.57,-0.1,1.25,183.89,163.99,157.52,8.16,analyst_fy,22.5,45.1,3.3,2.8,28.1,79.8,41.2,29.0,38.2,19.5,15.1,7.5,0.3,40.4,Strong Buy,14.0,6652502776.506043,-0.22,
56.3,DELL,Electronic Technology,EXCEPTIONAL GROWTH,143.25,128.65,168.93,217.62,17.9,0.37,505.56,544.67,1138.07,12.64,analyst_fy,45.0,56.7,33.9,40.2,16.4,22.1,7.7,5.2,7.5,,22.5,3.0,16.1,75.6,Buy,13.0,94930284459.69246,1.99,
56.0,MA,Finance,STRETCHED VALUATION,513.66,547.44,613.92,684.57,19.5,1.68,361.33,448.38,679.26,19.57,analyst_fy,18.5,24.3,17.5,17.9,31.1,96.5,60.1,45.6,51.5,210.5,-7.1,-4.6,-11.8,35.3,Sell,5.0,458092785873.3247,0.92,
55.2,CME,Finance,STRETCHED VALUATION,315.51,237.77,272.82,295.14,-13.5,4.04,83.62,264.0,315.11,11.94,analyst_fy,7.0,35.2,7.6,8.1,28.3,82.6,64.9,62.0,64.3,14.6,5.4,16.5,20.9,83.1,Buy,13.0,113149928310.10056,0.11,
55.0,FFIV,Technology Services,STRONG GROWTH,279.52,270.2,301.29,362.33,7.8,0.72,509.63,285.86,319.12,15.94,analyst_fy,32.0,9.8,8.0,7.3,23.1,80.1,25.1,22.5,27.4,20.8,2.2,12.6,-14.4,45.6,Buy,11.0,15798266934.98763,0.81,
54.9,FTNT,Technology Services,STRETCHED VALUATION,83.29,65.2,88.0,126.91,5.7,1.52,67.23,65.9,80.96,2.97,analyst_fy,22.6,-0.3,14.6,14.8,34.3,80.5,30.5,27.3,32.7,135.7,1.8,0.2,4.2,33.6,Buy,6.0,61628233961.23975,1.25,
54.5,DXCM,Health Technology,STRETCHED VALUATION,66.54,40.62,79.48,107.31,19.4,1.68,47.14,57.38,68.01,2.49,analyst_fy,18.9,78.0,14.4,13.1,31.8,60.4,19.6,17.9,23.1,34.5,-5.7,1.4,-14.7,34.7,Strong Sell,1.0,25608905722.73481,1.34,
54.0,AAPL,Electronic Technology,STRETCHED VALUATION,256.61,244.56,266.4,290.88,3.8,4.47,61.55,200.89,304.26,8.48,analyst_fy,7.3,18.5,14.0,15.7,32.5,47.3,32.4,27.0,28.3,152.0,-7.4,-7.7,10.5,73.2,Sell,2.0,3767253714455.1895,0.17,
54.0,BMY,Health Technology,EXCEPTIONAL GROWTH,59.38,57.27,75.86,110.28,27.8,0.21,249.76,73.88,70.89,6.24,analyst_fy,80.5,1404.5,0.8,1.3,17.2,65.9,31.4,14.6,26.7,40.5,-1.0,14.7,26.3,81.0,Sell,8.0,120925813400.92023,0.54,
54.0,HWM,Electronic Technology,STRETCHED VALUATION,247.13,92.7,144.87,192.93,-41.4,2.81,108.87,99.42,116.18,4.59,analyst_fy,23.7,19.6,13.6,14.6,66.5,30.7,25.8,18.3,17.3,30.4,15.5,27.7,37.3,87.6,Neutral,13.0,99086324521.44774,1.27,
53.0,AMGN,Health Technology,EXCEPTIONAL GROWTH,366.93,220.78,272.45,330.11,-25.7,0.45,895.92,323.78,466.36,22.4,analyst_fy,57.4,112.2,10.0,9.4,25.8,70.5,27.9,21.0,22.0,106.1,-0.8,14.0,31.0,81.2,Neutral,8.0,197800106099.86234,0.39,HIGH DEBT
53.0,RL,Consumer Non-Durables,MODERATE GROWTH,328.94,161.58,255.38,388.1,-22.4,2.09,174.65,569.06,611.16,16.27,analyst_fy,10.7,24.7,12.5,12.2,22.4,66.8,16.1,11.7,8.9,33.8,-3.8,-7.7,5.7,71.7,Sell,2.0,19918702833.87559,0.94,
52.6,VRTX,Health Technology,FAIRLY PRICED,452.15,426.66,559.07,740.08,23.6,1.13,502.36,395.89,540.57,19.32,analyst_fy,26.0,32.7,11.2,11.8,29.5,86.3,39.4,32.7,26.5,22.5,-1.6,2.2,14.1,57.0,Sell,4.0,114861561858.78056,0.32,
